AScore_Sample58,AScore_Sample59,AScore_Sample60,AScore_Sample61,AScore_Sample62,AScore_Sample63,AScore_Sample64,AScore_Sample65,AScore_Sample66,AScore_Sample67,AScore_Sample68,AScore_Sample69,AScore_Sample70,AScore_Sample71,AScore_Sample72,AScore_Sample73,AScore_Sample74,AScore_Sample75,AScore_Sample76,AScore_Sample77,AScore_Sample78,AScore_Sample79,AScore_Sample80,AScore_Sample81,AScore_Sample82,AScore_Sample83,AScore_Sample84,AScore_Sample157,AScore_Sample158,AScore_Sample159,AScore_Sample160,AScore_Sample161,AScore_Sample162,AScore_Sample163,AScore_Sample164,AScore_Sample165,AScore_Sample166,AScore_Sample167,AScore_Sample168,AScore_Sample169,AScore_Sample170,AScore_Sample171,AScore_Sample172,AScore_Sample173,AScore_Sample174,AScore_Sample175,AScore_Sample176,AScore_Sample177,AScore_Sample178,AScore_Sample179,AScore_Sample180,AScore_Sample181,AScore_Sample182,AScore_Sample183
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K9:Ubiquitin:0.00;K21:Propionate labeling reagent light:0.00,NA,NA,NA
NA,K9:Propionate labeling reagent light:52.56;K10:Propionate labeling reagent light:29.58;K21:Propionate labeling reagent light:0.00,NA,NA,K9:Propionate labeling reagent light:35.54;K10:Propionate labeling reagent light:32.49;K21:Propionate labeling reagent light:0.00,NA,NA,NA,K9:Propionate labeling reagent light:79.02;K10:Propionate labeling reagent light:29.10;K21:Propionate labeling reagent light:0.00,NA,NA,NA,NA,NA,NA,NA,K9:Propionate labeling reagent light:32.94;K10:Propionate labeling reagent light:19.53;K21:Propionate labeling reagent light:0.00,K9:Propionate labeling reagent light:87.96;K10:Propionate labeling reagent light:60.15;K21:Propionate labeling reagent light:0.00,NA,NA,K9:Propionate labeling reagent light:130.10;K10:Propionate labeling reagent light:156.12;K21:Propionate labeling reagent light:0.00,NA,K9:Propionate labeling reagent light:107.29;K10:Propionate labeling reagent light:79.27;K21:Propionate labeling reagent light:0.00,K9:Propionate labeling reagent light:61.59;K10:Propionate labeling reagent light:45.87;K21:Propionate labeling reagent light:0.00,K9:Propionate labeling reagent light:115.97;K10:Propionate labeling reagent light:92.54;K21:Propionate labeling reagent light:0.00,NA,K9:Propionate labeling reagent light:115.49;K10:Propionate labeling reagent light:76.12;K21:Propionate labeling reagent light:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K9:Propionate labeling reagent light:122.18;K10:Propionate labeling reagent light:71.19;K21:Propionate labeling reagent light:0.00,K9:Propionate labeling reagent light:65.44;K10:Propionate labeling reagent light:71.75;K21:Propionate labeling reagent light:0.00,K9:Propionate labeling reagent light:94.22;K10:Propionate labeling reagent light:73.06;K21:Propionate labeling reagent light:0.00,K9:Propionate labeling reagent light:122.18;K10:Propionate labeling reagent light:146.62;K21:Propionate labeling reagent light:0.00,K9:Propionate labeling reagent light:89.05;K10:Propionate labeling reagent light:104.62;K21:Propionate labeling reagent light:9.16,K9:Propionate labeling reagent light:115.97;K10:Propionate labeling reagent light:136.23;K21:Propionate labeling reagent light:0.00,K9:Propionate labeling reagent light:115.49;K10:Propionate labeling reagent light:138.59;K21:Propionate labeling reagent light:0.00,K9:Propionate labeling reagent light:115.49;K10:Propionate labeling reagent light:94.36;K21:Propionate labeling reagent light:0.00,NA
NA,NA,K9:Propionate labeling reagent light:34.46;K10:Propionate labeling reagent light:41.98;K23:Propionate labeling reagent light:6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K9:Propionate labeling reagent light:19.48;K10:Propionate labeling reagent light:21.04;K23:Propionate labeling reagent light:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K9:Propionate labeling reagent light:36.20;K10:Propionate labeling reagent light:30.57;K23:Propionate labeling reagent light:20.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K9:Propionate labeling reagent light:68.60;K10:Propionate labeling reagent light:95.35;K23:Propionate labeling reagent light:13.45,K9:Propionate labeling reagent light:19.48;K10:Propionate labeling reagent light:21.77;K23:Propionate labeling reagent light:5.99,K9:Propionate labeling reagent light:32.94;K10:Propionate labeling reagent light:45.63;K23:Propionate labeling reagent light:14.04,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,M2:Oxidation (M):78.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,M2:Oxidation (M):91.37,NA,NA,M2:Oxidation (M):91.37,M2:Oxidation (M):91.37,M2:Oxidation (M):83.88,NA,M2:Oxidation (M):91.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M2:Oxidation (M):0.00,NA,NA,M2:Oxidation (M):62.26,NA,NA,M2:Oxidation (M):47.36
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S3:Propionate labeling reagent light:0.00,S3:Propionate labeling reagent light:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,M5:Oxidation (M):65.81,M5:Oxidation (M):68.23,M5:Oxidation (M):59.10,M5:Oxidation (M):49.37,NA,M5:Oxidation (M):62.26,M5:Oxidation (M):62.26,M5:Oxidation (M):43.31,NA,NA,NA,NA,NA,NA,NA,NA,M5:Oxidation (M):49.37,NA,M5:Oxidation (M):32.97,M5:Oxidation (M):40.63,M5:Oxidation (M):28.36,M5:Oxidation (M):53.53,M5:Oxidation (M):68.47,M5:Oxidation (M):44.44,NA,M5:Oxidation (M):68.23,NA,NA,NA,NA,NA,NA,M5:Oxidation (M):48.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M5:Oxidation (M):24.24,M5:Oxidation (M):12.33,NA,NA,NA,NA,NA,NA,M5:Oxidation (M):41.20
NA,NA,N6:Deamidation (NQ):38.03,NA,NA,NA,N6:Deamidation (NQ):67.69,N6:Deamidation (NQ):49.79,N6:Deamidation (NQ):48.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N6:Deamidation (NQ):61.69,NA,NA,N6:Deamidation (NQ):61.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N6:Deamidation (NQ):58.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N6:Deamidation (NQ):61.69,NA,N6:Deamidation (NQ):44.28
NA,NA,NA,NA,NA,NA,NA,NA,S7:Propionate labeling reagent light:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N10:Deamidation (NQ):61.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,A1:Propionate labeling reagent light:32.28;M2:Oxidation (M):91.37,A1:Propionate labeling reagent light:32.28;M2:Oxidation (M):91.37,NA,A1:Propionate labeling reagent light:22.85;M2:Oxidation (M):57.45,NA,A1:Propionate labeling reagent light:32.28;M2:Oxidation (M):91.37,A1:Propionate labeling reagent light:32.28;M2:Oxidation (M):91.37,A1:Propionate labeling reagent light:32.28;M2:Oxidation (M):83.88,A1:Propionate labeling reagent light:32.28;M2:Oxidation (M):101.94,NA,NA,NA,NA,NA,NA,NA,A1:Propionate labeling reagent light:15.21;M2:Oxidation (M):91.37,NA,A1:Propionate labeling reagent light:20.41;M2:Oxidation (M):91.37,A1:Propionate labeling reagent light:20.41;M2:Oxidation (M):83.88,A1:Propionate labeling reagent light:20.41;M2:Oxidation (M):62.26,NA,A1:Propionate labeling reagent light:32.28;M2:Oxidation (M):91.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1:Propionate labeling reagent light:32.28;M2:Oxidation (M):77.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,A1:Propionate labeling reagent light:20.41;N6:Deamidation (NQ):47.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1:Propionate labeling reagent light:0.00;N6:Deamidation (NQ):35.13,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,A1:Carbamidomethylation (DHKE  X@N-term):37.85;N6:Deamidation (NQ):42.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1:Carbamidomethylation (DHKE  X@N-term):32.22;N6:Deamidation (NQ):43.86,A1:Carbamidomethylation (DHKE  X@N-term):32.22;N6:Deamidation (NQ):14.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1:Carbamidomethylation (DHKE  X@N-term):29.98;N6:Deamidation (NQ):25.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1:Carbamidomethylation (DHKE  X@N-term):39.54;N6:Deamidation (NQ):51.96,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,NA,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,NA,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,NA,NA,NA,NA,NA,NA,NA,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,NA,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,NA,M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M2:Oxidation (M):47.09;N6:Deamidation (NQ):33.81,M2:Oxidation (M):44.84;N6:Deamidation (NQ):24.67,M2:Oxidation (M):62.26;N6:Deamidation (NQ):38.03,NA,M2:Oxidation (M):77.24;N6:Deamidation (NQ):49.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,M5:Oxidation (M):37.54;N6:Deamidation (NQ):26.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M5:Oxidation (M):32.97;N6:Deamidation (NQ):34.30,NA,NA,M5:Oxidation (M):10.86;N6:Deamidation (NQ):0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M5:Oxidation (M):16.66;N6:Deamidation (NQ):42.68,NA,NA
NA,M5:Oxidation (M):29.32;N10:Deamidation (NQ):31.56,NA,NA,NA,NA,NA,M5:Oxidation (M):5.08;N10:Deamidation (NQ):33.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,A1:Propionate labeling reagent light:12.19;M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,NA,A1:Propionate labeling reagent light:27.16;M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,NA,NA,NA,NA,NA,NA,NA,A1:Propionate labeling reagent light:12.81;M2:Oxidation (M):1000.00;M5:Oxidation (M):1000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,A1:Carbamidomethylation (DHKE  X@N-term):1000.00,A1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,NA,NA,NA,NA,NA,NA,A1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,NA,NA,NA,NA,NA,A1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,NA,NA,A1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1:Carbamidomethylation (DHKE  X@N-term):1000.00,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V1:Propionate labeling reagent light:0.00;K12:Propionate labeling reagent light:38.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V1:Propionate labeling reagent light:0.00;K12:Propionate labeling reagent light:33.65,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K1:Propionate labeling reagent light:1000.00;K12:Propionate labeling reagent light:1000.00,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N6:Deamidation (NQ):32.28;K12:Propionate labeling reagent light:64.27,NA
NA,K1:Methylation(KR):56.41;D5:Dehydration:53.33;K12:Propionate labeling reagent light:56.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1:Dimethylation(KR):4.08,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K4:Dihydroxy:0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G1:Carbamylation:1000.00;K4:Acetylation (K):1000.00,NA,NA,NA,NA,NA,NA,NA,NA
